candidate_id,rank,score,reasoning
CAND_0067866,55,0.836022,"6.4 years experience, currently Senior Software Engineer (ML) at Tech Mahindra, with hands-on embeddings, vector search / retrieval infra; based in Noida, Uttar Pradesh (India), matching the Pune/Noida-preferred footprint."
CAND_0066999,56,0.835837,"5.9 years experience, currently Recommendation Systems Engineer at Microsoft, with hands-on vector search / retrieval infra, embeddings. Based in Delhi, Delhi (India), matching the Pune/Noida-preferred footprint; a 15-day notice period fits the JD's sub-30-day preference."
CAND_0047542,57,0.835578,"5.0 years experience, currently Senior Software Engineer (ML) at Meesho, with hands-on ranking evaluation (NDCG/MRR/A-B testing), vector search / retrieval infra."
CAND_0065195,58,0.835552,"5.1 years experience, currently Search Engineer at CRED, with hands-on vector search / retrieval infra, ranking evaluation (NDCG/MRR/A-B testing)."
CAND_0070398,59,0.834691,"7.2 years experience, currently Machine Learning Engineer at Genpact AI, with hands-on embeddings, vector search / retrieval infra; a long 120-day notice period is a practical concern."
CAND_0062247,60,0.834014,"7.3 years experience, currently AI Engineer at Google, with hands-on vector search / retrieval infra, ranking evaluation (NDCG/MRR/A-B testing); a 30-day notice period fits the JD's sub-30-day preference."
CAND_0066376,61,0.833926,"5.7 years experience, currently Applied ML Engineer at Dream11, with hands-on vector search / retrieval infra, ranking evaluation (NDCG/MRR/A-B testing); based in Mumbai, Maharashtra (India), matching the Pune/Noida-preferred footprint."
CAND_0095528,62,0.832648,"5.3 years experience, currently Senior Data Scientist at Netflix, with hands-on embeddings, vector search / retrieval infra."
CAND_0005649,63,0.831526,"7.4 years experience, currently Senior Data Scientist at Sarvam AI, with hands-on embeddings, vector search / retrieval infra; based in Delhi, Delhi (India), matching the Pune/Noida-preferred footprint."
CAND_0061257,64,0.829111,"8.0 years experience, currently Staff Machine Learning Engineer at LinkedIn, with hands-on Python. Based in Noida, Uttar Pradesh (India), matching the Pune/Noida-preferred footprint; a 30-day notice period fits the JD's sub-30-day preference."
CAND_0050454,65,0.828779,"6.8 years experience, currently AI Engineer at Rephrase.ai, with hands-on vector search / retrieval infra. Based in Delhi, Delhi (India), matching the Pune/Noida-preferred footprint; a 30-day notice period fits the JD's sub-30-day preference."
CAND_0043228,66,0.825057,"6.8 years experience, currently Applied ML Engineer at Zoho, with hands-on embeddings, vector search / retrieval infra; a 30-day notice period fits the JD's sub-30-day preference."
CAND_0064256,67,0.824263,"6.4 years experience, currently Junior ML Engineer at BYJU'S, with hands-on Python, embeddings; a 30-day notice period fits the JD's sub-30-day preference."
CAND_0096142,68,0.823071,"5.0 years experience, currently Applied ML Engineer at upGrad, with hands-on vector search / retrieval infra, Python. Based in Hyderabad, Telangana (India), matching the Pune/Noida-preferred footprint; a long 120-day notice period is a practical concern."
CAND_0086022,69,0.822849,"5.3 years experience, currently Senior Applied Scientist at Sarvam AI, with hands-on embeddings, vector search / retrieval infra; a 0-day notice period fits the JD's sub-30-day preference."
CAND_0082248,70,0.822256,"4.5 years experience, currently Backend Engineer at Hooli, with hands-on embeddings, vector search / retrieval infra; based in Pune, Maharashtra (India), matching the Pune/Noida-preferred footprint."
CAND_0049538,71,0.821504,"5.8 years experience, currently Applied ML Engineer at Saarthi.ai, with hands-on vector search / retrieval infra, ranking evaluation (NDCG/MRR/A-B testing); a 30-day notice period fits the JD's sub-30-day preference."
CAND_0052328,72,0.821026,"6.5 years experience, currently Recommendation Systems Engineer at Amazon, with hands-on embeddings, vector search / retrieval infra. Based in Pune, Maharashtra (India), matching the Pune/Noida-preferred footprint; a 30-day notice period fits the JD's sub-30-day preference."
CAND_0017960,73,0.819642,"7.7 years experience, currently Recommendation Systems Engineer at Nykaa, with hands-on vector search / retrieval infra, Python; based in Bangalore, Karnataka (India), matching the Pune/Noida-preferred footprint."
CAND_0068811,74,0.818000,"8.0 years experience, currently Applied ML Engineer at Freshworks, with hands-on vector search / retrieval infra, embeddings. Based in Pune, Maharashtra (India), matching the Pune/Noida-preferred footprint; a 30-day notice period fits the JD's sub-30-day preference."
CAND_0030953,75,0.816362,"7.8 years experience, currently Search Engineer at Nykaa, with hands-on vector search / retrieval infra, ranking evaluation (NDCG/MRR/A-B testing)."
CAND_0025640,76,0.815577,"5.6 years experience, currently AI Research Engineer at HCL, with hands-on vector search / retrieval infra, embeddings; a 30-day notice period fits the JD's sub-30-day preference."
CAND_0042506,77,0.813030,"4.2 years experience, currently Search Engineer at Verloop.io, with hands-on vector search / retrieval infra, embeddings. Based in Mumbai, Maharashtra (India), matching the Pune/Noida-preferred footprint; a 15-day notice period fits the JD's sub-30-day preference."
CAND_0066690,78,0.812310,"4.8 years experience, currently ML Engineer at Freshworks, with hands-on vector search / retrieval infra, embeddings. Based in Gurgaon, Haryana (India), matching the Pune/Noida-preferred footprint; a 30-day notice period fits the JD's sub-30-day preference."
CAND_0012957,79,0.811835,"4.9 years experience, currently Search Engineer at Razorpay, with hands-on embeddings, Python; a long 120-day notice period is a practical concern."
CAND_0053605,80,0.810678,"6.9 years experience, currently Senior Software Engineer (ML) at Verloop.io, with hands-on embeddings. Based in Noida, Uttar Pradesh (India), matching the Pune/Noida-preferred footprint; a 30-day notice period fits the JD's sub-30-day preference."
CAND_0053591,81,0.809415,"5.3 years experience, currently AI Engineer at Ola, with hands-on embeddings, vector search / retrieval infra; based outside India in Toronto, which is case-by-case per the JD given no visa sponsorship."
CAND_0070525,82,0.809219,"5.4 years experience, currently Senior Software Engineer (ML) at Mad Street Den, with hands-on Python, embeddings; based in Hyderabad, Telangana (India), matching the Pune/Noida-preferred footprint."
CAND_0075439,83,0.808628,"4.3 years experience, currently Machine Learning Engineer at Flipkart, with hands-on ranking evaluation (NDCG/MRR/A-B testing), vector search / retrieval infra; a 30-day notice period fits the JD's sub-30-day preference."
CAND_0015057,84,0.807040,"4.6 years experience, currently ML Engineer at Meesho, with hands-on embeddings, vector search / retrieval infra; based in Pune, Maharashtra (India), matching the Pune/Noida-preferred footprint."
CAND_0051004,85,0.807018,"4.7 years experience, currently Senior Data Scientist at CRED, with hands-on vector search / retrieval infra, embeddings. Based in Delhi, Delhi (India), matching the Pune/Noida-preferred footprint; a 15-day notice period fits the JD's sub-30-day preference."
CAND_0020991,86,0.806317,"4.9 years experience, currently Junior ML Engineer at PhonePe, with hands-on vector search / retrieval infra, Python; a long 120-day notice period is a practical concern."
CAND_0034164,87,0.805862,"3.6 years experience, currently Data Scientist at Haptik, with hands-on vector search / retrieval infra, embeddings; based in Hyderabad, Telangana (India), matching the Pune/Noida-preferred footprint."
CAND_0028422,88,0.802954,"5.5 years experience, currently Junior ML Engineer at Yellow.ai, with hands-on vector search / retrieval infra, ranking evaluation (NDCG/MRR/A-B testing)."
CAND_0065430,89,0.802877,"4.4 years experience, currently ML Engineer at Mad Street Den, with hands-on embeddings, vector search / retrieval infra; based in Mumbai, Maharashtra (India), matching the Pune/Noida-preferred footprint."
CAND_0029367,90,0.802830,"5.7 years experience, currently Senior Data Scientist at Rephrase.ai, with hands-on embeddings, vector search / retrieval infra; based in Bangalore, Karnataka (India), matching the Pune/Noida-preferred footprint."
CAND_0054318,91,0.800211,"3.5 years experience, currently AI Research Engineer at BYJU'S, with hands-on vector search / retrieval infra, embeddings."
CAND_0070514,92,0.799716,"5.5 years experience, currently AI Specialist at Glance, with hands-on vector search / retrieval infra, Python; based in Bangalore, Karnataka (India), matching the Pune/Noida-preferred footprint."
CAND_0018094,93,0.799338,"5.2 years experience, currently ML Engineer at Mad Street Den, with hands-on vector search / retrieval infra, embeddings; based in Bangalore, Karnataka (India), matching the Pune/Noida-preferred footprint."
CAND_0079284,94,0.798664,"4.9 years experience, currently Machine Learning Engineer at Google, with hands-on vector search / retrieval infra. Based in Hyderabad, Telangana (India), matching the Pune/Noida-preferred footprint; a 30-day notice period fits the JD's sub-30-day preference."
CAND_0080766,95,0.798239,"8.8 years experience, currently Staff Machine Learning Engineer at Salesforce, with hands-on Python, vector search / retrieval infra; a 0-day notice period fits the JD's sub-30-day preference."
CAND_0039838,96,0.797548,"4.9 years experience, currently Recommendation Systems Engineer at Amazon, with hands-on vector search / retrieval infra, embeddings."
CAND_0016163,97,0.796860,"6.7 years experience, currently Applied ML Engineer at Dream11, with hands-on vector search / retrieval infra, embeddings. Based in Gurgaon, Haryana (India), matching the Pune/Noida-preferred footprint; a long 120-day notice period is a practical concern."
CAND_0013665,98,0.795949,"5.2 years experience, currently Senior Software Engineer (ML) at InMobi, with hands-on vector search / retrieval infra, embeddings; a 30-day notice period fits the JD's sub-30-day preference."
CAND_0054100,99,0.795540,"6.0 years experience, currently Junior ML Engineer at Zoho, with hands-on embeddings, vector search / retrieval infra."
CAND_0037566,100,0.793883,"6.9 years experience, currently Machine Learning Engineer at LinkedIn, with hands-on vector search / retrieval infra. Based in Bangalore, Karnataka (India), matching the Pune/Noida-preferred footprint; a 15-day notice period fits the JD's sub-30-day preference."
